Institution ID,Inst CRM ID,Dept Name,Department ID
Cambridge College,5B0A8A8E-59B1-E411-B490-0050569C00A7,Registered Course,9853
Cambridge College,5B0A8A8E-59B1-E411-B490-0050569C00A7,Education,11407
Capella University,F9056B9F-A32B-E911-8106-000C29A8E632,Psychology,8218
Capella University,F9056B9F-A32B-E911-8106-000C29A8E632,Registered Course,9854
Capella University,F9056B9F-A32B-E911-8106-000C29A8E632,,11914
Capilano University,9C21921F-8AB4-E511-990B-0050569C00C5,Applied Behavior Analysis - Autism,8530
Capilano University,9C21921F-8AB4-E511-990B-0050569C00C5,Registered Course,9855
CAPPDR-SEEK,2090EE70-A15B-E911-8106-000C29A8E632,Behavior Analysis,8318
CAPPDR-SEEK,2090EE70-A15B-E911-8106-000C29A8E632,SEEK ABA-Taiwan,8438
CAPPDR-SEEK,2090EE70-A15B-E911-8106-000C29A8E632,Registered Course,9856
Carlos Albizu University,,Registered Course,9857
Carlos Albizu University,,,11915
Centenary University,,Registered Course,9858
Centenary University,,,11916
Central Methodist University,6B96C58C-1656-E911-8106-000C29A8E632,Behavior Analysis,8601
Central Methodist University,6B96C58C-1656-E911-8106-000C29A8E632,Psychology,8631
Central Methodist University,6B96C58C-1656-E911-8106-000C29A8E632,Registered Course,9859
Central Michigan University,308BF753-6200-E411-BEB5-00505683000D,Psychology,8606
Central Michigan University,308BF753-6200-E411-BEB5-00505683000D,Registered Course,9860
Central Washington University,378BF753-6200-E411-BEB5-00505683000D,Psychology,8407
Central Washington University,378BF753-6200-E411-BEB5-00505683000D,Registered Course,9861
Central Washington University,378BF753-6200-E411-BEB5-00505683000D,,11917
Chapman University,914D1849-1756-E911-8106-000C29A8E632,Extended Education,8514
Chapman University,914D1849-1756-E911-8106-000C29A8E632,Registered Course,9862
Chicago School of Professional Psychology,0C50719A-2A14-E411-B0E2-0050569C00A7,Applied Behavior Analysis,8247
Chicago School of Professional Psychology,0C50719A-2A14-E411-B0E2-0050569C00A7,Behavior Analysis,8236
Chicago School of Professional Psychology,0C50719A-2A14-E411-B0E2-0050569C00A7,Dept of Applied Behavior Analysis-DC Campus,8437
Chicago School of Professional Psychology,0C50719A-2A14-E411-B0E2-0050569C00A7,UnNamedDepartment,8576
Chicago School of Professional Psychology,0C50719A-2A14-E411-B0E2-0050569C00A7,Registered Course,9863
Claremont Graduate University,,Registered Course,9864
Claremont Graduate University,,,11918
Clarion University,681CEC1A-1856-E911-8106-000C29A8E632,Special Education,8303
Clarion University,681CEC1A-1856-E911-8106-000C29A8E632,Registered Course,9865
Clemson University,64717A50-1B56-E911-8106-000C29A8E632,Youth Learning Institute,8609
Clemson University,64717A50-1B56-E911-8106-000C29A8E632,Registered Course,9866
Cleveland State University,BB6D8CDB-1D56-E911-8106-000C29A8E632,Teacher Education,8495
Cleveland State University,BB6D8CDB-1D56-E911-8106-000C29A8E632,Registered Course,9867
Cleveland State University,BB6D8CDB-1D56-E911-8106-000C29A8E632,,11919
