id,rc_reg_crse_insttn,rc_regcrs_deparmnt_crm,rc_crse_title,rc_crse_numbr,rc_crse_cdt_lvl,rc_crse_cdt_hrs,rc_cnthrs_editn,rc_cnthrs_strt_dat,rc_cnthrs_end_dat,rc_cnthrs_strt_yr,rc_cnthrs_end_yr,rc_cnthrs_strt_sem,rc_cnthrs_end_sem,rc_cnthrs_strt_qurtr,rc_cntnthrs_end_qtr,data_discrpncy_final_dta,rc_final_data_course_name,rc_rgsd_numbr,rc_rgs_typ_fnl,third_edition_cr_number,alterations,rc_cntnt_alloc_a1,rc_cnt_alloc_b1,rc_cntn_alloc_type_c1,rc_cnt_alloc_c2,rc_cntn_alloc_type_d1,rc_cntn_alloc_type_d2,rc_cntn_alloc_type_d3,rc_cntn_alloc_type_d4,rc_cntn_alloc_type_d5v,rc_cntn_alloc_type_e1,rc_cntn_alloc_type_5av,rc_cntn_alloc_type_5d,rc_cntn_alloc_type_5g,rc_cntn_alloc_type_5h,rc_cntn_alloc_type_5e,rc_cntn_alloc_type_5b,rc_cntn_alloc_type_5c,rc_cntn_alloc_type_5f
0d0f3b71-cf1a-4a86-ad3b-32d933eddaa4 Fifth Edition,Association for training in Neurodevelopment Monorodi,Monorodi,Behaviour Assessment,ATHABA 3,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4261 BCBA,4261, BCBA,,,,,,,,,,,,,,,,,,45,,
a3e36e11-7d34-453b-aba7-d79bc9bb4614 Fifth Edition,ABA Training Solutions,,Personnel Supervision & Management,BACS 5008,Graduate,2,Fifth Edition,,,2018,,Fall,,,,,4509 BCBA,4509, BCBA,,,,,,,,,,,,,,,,,,,,30
1f05e19c-6a0d-4310-add3-261cff7f002b Fifth Edition,ABA Training Solutions,,Philosophical Underpinnings & Concepts and Principles I,BACS 5001,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4509 BCBA,4509, BCBA,,,,,,,,,,,,,,,45,,,,,
d1426f77-2617-4c00-b933-c498ca6494aa Fifth Edition,ABA Training Solutions,,Behavior Change Procedures,BACS 5004,Graduate,2,Fifth Edition,,,2018,,Fall,,,,,4509 BCBA,4509, BCBA,,,,,,,,,,,,,,,,,,,30,
a41bc661-75d1-4314-9fae-c83db2ec51ce Fifth Edition,Florida International University,,ABA in Education,EEX 6664,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4516 BCBA,4516, BCBA,,,,,,,,,,,,,,,,,,,30,15
3fd05e6a-a3b0-412f-8d27-b119ee125eb1 Fifth Edition,ReykjavÃ­k University,Psychology,Behavior Interventions II,E-803-BIN2,Graduate,2,Fifth Edition,,,2018,,Fall,,,,,4089 BCBA,4089, BCBA,,,,,,,,,,,,,,,,,,,30,
05218386-6ed3-4e60-a9d4-c3afb4c84e6a Fifth Edition,Northern Arizona University,"Educational Specialties, College of Education",ETHICAL PRACTICE OF ABA AND PBS,ESE 577,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4091 BCBA,4091, BCBA,,,,,,,,,,,,,45,,,,,,,
e255052a-8511-4eac-a82b-0f05b5c4c3c8 Fifth Edition,"Chicago School of Professional Psychology, The",Applied Behavior Analysis,Concepts and Principles of Behavior Analysis I,AB 540CH,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4501 BCBA Chicago,4501, BCBA Chicago,,,,,,,,,,,,,,,45,,,,,
0bc59bad-ecb1-4c50-8be4-983508c589af Fifth Edition,University of New Mexico,Department of Special Education,ABA Supervision & Consultation,SPCD 507,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4121 BCBA,4121, BCBA,,,,,,,,,,,,,,,,,,,15,30
fe56b887-23b1-4085-b2ee-1158a5fa2dbc Fifth Edition,Queens College,Psychology,Developmental Disabilities I,PSY 720/01,Graduate,2,Fifth Edition,,,2018,,Fall,,,,,4285 BCBA,4285, BCBA,,{Number:PSY 720}{Number:PSY 01},,,,,,,,,,,,15,,,,,15,
4593fe41-79ff-4805-950a-87a4b52b8f58 Fifth Edition,Pepperdine University,Psychology,Concepts and Principles of ABA,PSY 613,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4414 BCBA,4414, BCBA,,,,,,,,,,,,,,,45,,,,,
267bbdf3-0506-4d4d-b212-cbe5c5724aea Fifth Edition,Florida Tech,Behavior Analysis,Introduction to Concepts & Principles of Behavior Analysis,BEH/BEHP 5041,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4039 BCaBA,4039, BCaBA,,{Number:BEH 5041}{Number:BEHP 5041},,,,,,,,,,,,,45,,,,,
dc7afaa5-5c4e-4726-9858-b1657843d09a Fifth Edition,Azerbaijan Agdam Social College,Department of Additional and Continuing Education,Selecting and Implementing Interventions,SKA-6,Graduate,2,Fifth Edition,,,2018,,Fall,,,,,4512 BCBA,4512, BCBA,,,,,,,,,,,,,,,,,,,30,
016dac83-39f3-4c59-a3e0-dfcff699a88f Fifth Edition,Florida Tech,Behavior Analysis,Assessment and Behavior change Procedures for Skill Acquisition and Performance Improvement,BEH/BEHP 5048,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4038 BCBA,4038, BCBA,,{Number:BEH}{Number:BEHP 5048},,,,,,,,,,,,,,,,15,30,
ac1c62f6-d8aa-48b8-80e4-0abdbf691a9b Fifth Edition,Regis College,Psychology,Ethical Practice in ABA,ABA 610,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4047 BCBA,4047, BCBA,,,,,,,,,,,,,45,,,,,,,
db274690-1cb8-4a34-a565-61d1704cef74 Fifth Edition,SEEK Applied Behavior Analysis Association - Taiwan,Behavior Analysis,Behavioral Assessment,SBEH 103,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4395 BCBA,4395, BCBA,,,,,,,,,,,,,,,,,,45,,
ac937ba5-de16-4f1f-86cb-0a56ba761df8 Fifth Edition,Marquette University,Psychology,Functional Assessment and Treatment,PSYCH 6860,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4503 BCBA,4503, BCBA,,,,,,,,,,,,,,,,,,45,,
18016b8b-4426-4f46-86ca-12a9478f9b96 Fifth Edition,Association for training in Neurodevelopment Monorodi,Monorodi,Philosophical Undepinnings & Concepts and Principles,ATHABA 1,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4261 BCBA,4261, BCBA,,,,,,,,,,,,,,,45,,,,,
1421b47d-0676-4d40-a203-8383bb53d04c Fifth Edition,Lindenwood University,Educational Leadership,Advanced Research Methods for ABA,EDSBA 52000,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4175 BCBA,4175, BCBA,,{Number:EDS 62000},,,,,,,,,,,,,,,25,,20,
fb95f99c-ab94-49b5-88d8-c6f19b6e0699 Fifth Edition,Georgian Court University,Psychology,Generalization and Training,ABA 505,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4073 BCBA,4073, BCBA,,,,,,,,,,,,,,,,,,5,10,25
437bdd9b-7b8e-4893-866f-7130d93e24c0 Fifth Edition,Elms College,Communication Sciences and Disorders,Research Methods and Experimental Design,ABA 610,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4008 BCBA,4008, BCBA,,{Number:ABA 710},,,,,,,,,,,,,,,45,,,
ff2f1e99-97c9-47f4-8291-7e30b407ae15 Fifth Edition,Florida Tech,Behavior Analysis,Advanced Personnel Supervision and Management,BEH/BEHP 5051,Graduate,1,Fifth Edition,,,2018,,Fall,,,,,4038 BCBA,4038, BCBA,,{Number:BEH}{Number:BEHP 5051},,,,,,,,,,,,,,,,,,15
95dcb063-7712-4408-8b39-b93725fb3044 Fifth Edition,Utah State University,Special Education,Ethics and Professional Behavior in Behavior Analysis,SPED 6780,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4263 BCBA,4263, BCBA,,,,,,,,,,,,,45,,,,,,,
b9671b98-a1fd-4877-93a3-5d2408a93951 Fifth Edition,Michigan School of Psychology,Psychology,Ethics in Behavior Analysis and Psychology,PSYC 657,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4426 BCBA,4426, BCBA,,,,,,,,,,,,,45,,,,,,,
17a42639-c8a9-4339-a8eb-aacaec1fad64 Fifth Edition,Rollins College,Health Professions,Behavioral Assessmet,BACS 511,Graduate,3,Fifth Edition,,,2017,,Fall,,,,,4375 BCBA,4375, BCBA,,,,,,,,,,,,,,,,,,45,,
ed2c6e2a-cb08-4c59-841d-a13f3c3e8ec2 Fifth Edition,Regis College,Psychology,Behavior Intervention,ABA 608,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4047 BCBA,4047, BCBA,,,,,,,,,,,,,,,,,,,45,
d95b3ab4-1fa5-4e04-b329-508df3d5be7c Fifth Edition,CAPPDR-SEEK,SEEK ABA-Taiwan,Ethical and Legal Issues in ABA,SBEH 106,Graduate,2,Fifth Edition,,,2016,,Spring,,,,,4081 BCaBA,4081, BCaBA,,,,,,,,,,,,,30,,,,,,,
c0e3cc50-a7d9-434a-9895-d5d34e591988 Fifth Edition,Association for training in Neurodevelopment Monorodi,Monorodi,Ethics,ATHABA 5,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4261 BCBA,4261, BCBA,,,,,,,,,,,,,45,,,,,,,
9b4bc73c-68be-4ed6-9eb4-379dd484c910 Fifth Edition,Biruni University,Education,Selecting and Implementing Interventions,GCS-6,Graduate,2,Fifth Edition,,,2018,,Fall,,,,,4507 BCBA,4507, BCBA,,,,,,,,,,,,,,,,,,,30,
